slang,formal,In-dictionary,context,category1,category2,category3
akau,aku,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
nemuin,menemukan,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,0,0
yah,ya,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
mnis2nya,manis-manisnya,0,Ada mnis2nya gtu ?,reduplikasi,abreviasi,0
gtu,begitu,1,gtu,abreviasi,0,0
tu,itu,1,Diet pak . dah montok tu . hihi . love 4 voice tulus,zeroisasi,0,0
idolaa,idola,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
bangett,banget,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
kaakk,kak,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
baaiikkk,baik,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
telaatt,telat,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
kaak,kak,1,"selamat ulang tahun kaak, sukses selalu.. @tulusm",elongasi,0,0
yg,yang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
lg,lagi,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
skarang,sekarang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,zeroisasi,0,0
sempet,sempat,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
karna,karena,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
ngga,tidak,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
mantep,mantap,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
loohhh,loh,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,0,0
yeee,ya,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,modifikasi vokal,0
baguuuuus,bagus,1,Baguuuuus banget....,elongasi,0,0
sampe,sampai,1,"Keren bor, sampe ngikutin gayany hahaha",monoftongisasi,0,0
ngikutin,mengikuti,1,"Keren bor, sampe ngikutin gayany hahaha",afiksasi,0,0
gayany,gayanya,0,"Keren bor, sampe ngikutin gayany hahaha",abreviasi,0,0
bnk,bang,1,TOP bnk ariel... gaya g,abreviasi,subtitusi,homofon
awaas,awas,1,Minta rokok ny dong awaas to kena jari...,elongasi,0,0
siip,sip,1,Siip bang ariel,elongasi,0,0
abizzzz,habis,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,subtitusi,zeroisasi
kerrrrennnn,keren,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,0,0
sayaa,saya,1,kayak pacar sayaa wendel's ?,elongasi,0,0
pengen,pengin,1,Pengen duet Tapi kapan?,modifikasi vokal,0,0
kpan,kapan,1,Noah kpan kemedan?,abreviasi,0,0
sma,sama,1,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
sdkit,sedikit,1,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
bngt,banget,1,Ku suka bngt lgu nya,abreviasi,0,0
lgu,lagu,1,Ku suka bngt lgu nya,abreviasi,0,0
bener2,benar-benar,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,reduplikasi,modifikasi vokal,0
kharismanya,karismanya,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,anaptiksis,0,0
aq,aku,1,Lagu kesukaan aq banget @ariel_nazril_irham,abreviasi,homofon,0
jdi,jadi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
lgi,lagi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
gk,tidak,1,Keren gk no @mutiaranovashadiqah,abreviasi,0,0
kek,kayak,1,Kek gua hahahaha @mutiaranovashadiqah,abreviasi,modifikasi vokal,0
lgunya,lagunya,0,Ini judul lgunya apa ya??,abreviasi,0,0
kereeeeennnn,keren,1,Kereeeeennnn boriel,elongasi,0,0
nyamain,menyamakan,1,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok,afiksasi,0,0
lakik,laki,1,Rokok slalu membuat ariel semakin lakik,anaptiksis,0,0
siippp,sip,1,Siippp siippp,elongasi,0,0
nyangka,menyangka,1,Aku ga nyangka itu korea,afiksasi,0,0
bangettt,banget,1,Indah bangettt ???,elongasi,0,0
kereeen,keren,1,Kereeen banget ?,elongasi,0,0
wihhhhhh,wih,1,Wihhhhhh...,elongasi,0,0
tp,tapi,1,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",abreviasi,0,0
inget,ingat,1,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",modifikasi vokal,0,0
bingitsss,banget,1,Snsd bingitsss,modifikasi vokal,elongasi,0
dmn,dimana,0,Dmn itu air nya bird bgt,abreviasi,0,0
bird,biru,1,Dmn itu air nya bird bgt,salah ketik,0,0
kaloo,kalo,1,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
gimna,bagaimana,1,Kaloo Kelewat Gimna Tuuh,abreviasi,0,0
tuuh,tuh,0,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
nyebur,mencebur,1,Kalo kelewat ya nyebur,afiksasi,0,0
yng,yang,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
dbuat,dibuat,0,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
kn,kan,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
org,orang,1,"Mana mungkin shot di bali, rame org",abreviasi,0,0
pingin,pengin,1,@afahalwa pingin aku,modifikasi vokal,0,0
bangcat,bangsat,1,Ko bangcat yha :') @bilavkcb,subtitusi,0,0
yha,ya,1,Ko bangcat yha :') @bilavkcb,anaptiksis,0,0
waoohhh,wah,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",elongasi,anaptiksis,0
pngn,pengin,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
tmpt,tempat,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
dhe,deh,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",homofon,0,0
indahhh,indah,1,Indahhh bgttt di mana tuhh,elongasi,0,0
bgttt,banget,1,Indahhh bgttt di mana tuhh,abreviasi,elongasi,0
tuhh,tuh,0,Indahhh bgttt di mana tuhh,elongasi,0,0
berarto,berarti,1,Lh-lho berarto snsd ke indo? @bethaniamaureen,salah ketik,0,0
ga,tidak,1,"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island",abreviasi,zeroisasi,0
aamiin,amin,1,Aamiin,elongasi,0,0
amiiinn,amin,1,Amiiinn,elongasi,0,0
dgn,dengan,1,"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin",abreviasi,0,0
aminnnn2,amin-amin,0,Aminnnn2 @fendi_dbonno9414,elongasi,reduplikasi,0
amiiiin,amin,1,Amiiiin ya robal alamin.,elongasi,0,0
aminnn,amin,1,Aminnn,elongasi,0,0
amiend,amien,1,Amiend ya Allah,anaptiksis,0,0
yaaa,ya,1,@isafitriani @nisaayuasmara @unie_emilia @nabilanatasya9 @sasmirayanti mau kalung murah & cantik? cek ig kita yaaa??,elongasi,0,0
ameen,amin,1,Ameen,modifikasi vokal,elongasi,0
aminnnn,amin,1,Aminnnn,elongasi,0,0
amiiinnn,amin,1,Amiiinnn,elongasi,0,0
ngomong,mengomong,1,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,afiksasi,0,0
mamer,memamerkan,1,Lo mamer aurat lebih dosa keles,afiksasi,0,0
keles,kali,1,Lo mamer aurat lebih dosa keles,coinage,0,0
jelase,jelas,1,Iki lebih jelase @oktaviajr,anaptiksis,0,0
liat,lihat,1,Liat loh uwakk @graciags,zeroisasi,0,0
uwakk,uwak,1,Liat loh uwakk @graciags,elongasi,0,0
ntar,entar,1,@virakysh ntar kita bs gini,zeroisasi,0,0
bs,bisa,1,@virakysh ntar kita bs gini,abreviasi,0,0
gini,begini,1,@virakysh ntar kita bs gini,abreviasi,0,0
salfok,salah fokus,0,Salfok:v @fad.fdh @auliyya_naural,akronim,0,0
njir,anjir,1,Njir pink haha @standy.gigih,zeroisasi,0,0
piiink,pink,0,Piiink,elongasi,0,0
astgfrullah,astagfirullah,1,astgfrullah?,abreviasi,0,0
ko,kok,1,Aneh ko cd di perlihatkan,zeroisasi,0,0
cd,celana dalam,0,Aneh ko cd di perlihatkan,akronim,0,0
gbs,enggak bisa,0,Gbs bhs inggris ?,akronim,abreviasi,0
bhs,bahasa,1,Gbs bhs inggris ?,abreviasi,0,0
yaaaaaa,ya,1,Cantiknya Yaaaaaa,elongasi,0,0
gak,tidak,1,Gak maksud,zeroisasi,0,0
bangshad,bangsat,1,Bangshad @salisaokta,anaptiksis,subtitusi,homofon
stagahhhh,astaga,1,Kakinya stagahhhh,anaptiksis,elongasi,zeroisasi
kpn,kapan,1,"Dinda otw,kon kpn @sakinaabsyn12",abreviasi,0,0
iooo,lo,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,salah ketik,elongasi,0
dy,dia,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,homofon,0,0
mslh,masalah,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,0,0
qt,kita,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,homofon,0
plampiasannn,pelampiasan,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,elongasi,zeroisasi,0
masalahh,masalah,1,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,0,0
tohh,toh,1,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,0,0
inghinn,ingin,1,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,anaptiksis,0
dhi,di,1,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",anaptiksis,0,0
mengherthii,mengerti,1,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",anaptiksis,elongasi,0
yanckh,yang,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,0,0
chelalyyu,selalu,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,subtitusi,0
therchakitty,tersakiti,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,subtitusi,homofon
mauuuuu,mau,1,Ini yang gua mauuuuu ?? @raquellyndaf @nisaaxs,elongasi,0,0
kaliii,kali,1,Mau gtu juga kaliii @damanikyoga,elongasi,0,0
bangat,banget,1,Bangat ? @nadyaronhaziza,modifikasi vokal,0,0
bkin,bikin,1,Kak bkin video mail time bareng kak cassy dongg,abreviasi,0,0
dongg,dong,1,Kak bkin video mail time bareng kak cassy dongg,elongasi,0,0
yokkk,yuk,1,Yokkk buat @salsa_nafita @ersakusumara,elongasi,modifikasi vokal,0
yu,yuk,1,Gini yu ma wkk @nurrachmaniahm,zeroisasi,0,0
sweger,segar,1,Sweger @irfaul.izzi,anaptiksis,modifikasi vokal,0
gantengg,ganteng,1,"@sabithanurul24 @nadia_evelyn09 gantengg banget,pengen!",elongasi,0,0
bingiit,banget,1,cocok.bingiit deh sama baby,modifikasi vokal,elongasi,0
kebukaaa,terbuka,1,gak mau kebukaaa @intansetyawatii,afiksasi,elongasi,0
tpi,tapi,1,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",abreviasi,0,0
keliatan,kelihatan,1,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",zeroisasi,0,0
yakk,ya,1,Ini Ariana apa cincha loowrrr ????? Miripp banget yakk ??,anaptiksis,elongasi,0
kayakk,kayak,1,Kayakk ariana asliii,elongasi,0,0
asliii,asli,1,Kayakk ariana asliii,elongasi,0,0
kyk,kayak,1,Kyk ariana grande..cntiknya,abreviasi,0,0
cntiknya,cantiknya,0,Kyk ariana grande..cntiknya,abreviasi,0,0
bat,banget,1,Mirip bat @arianagrande,abreviasi,0,0
ngeliatnya,melihatnya,0,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",afiksasi,0,0
sll,selalu,1,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",abreviasi,0,0
bet,banget,1,Ariana grande bet njerr @rmutiaram,abreviasi,0,0
njerr,anjir,1,Ariana grande bet njerr @rmutiaram,zeroisasi,modifikasi vokal,0
bingiiittttzzzz,banget,1,Arianaaa bingiiittttzzzz......,elongasi,modifikasi vokal,anaptiksis
klo,kalo,1,K Cinta mirip ariana grande klo lg kaya gini..,zeroisasi,0,0
dooong,dong,1,Selfie bareng @arianagrande dooong,elongasi,0,0
masi,masih,1,Masi cantikan @claurakiehl  daripada ari.. ari is toooooo cute i think...,zeroisasi,0,0
gni,begini,1,Sis @ridhanisabrina wisudamu kaya gni aja simple,abreviasi,0,0
hdk,hendak,1,Hdk yg simple kyne z @fvtrisna,abreviasi,0,0
jugaa,juga,1,Itu simple banget kebayane jugaa wkwk @ridhanisabrina,elongasi,0,0
mksud,maksud,1,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,0,0
aj,saja,1,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,0,0
tetep,tetap,1,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",modifikasi vokal,0,0
mbakx,mbaknya,0,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",word-value letter,0,0
syantik,cantik,1,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",subtitusi,anaptiksis,0
kite,kita,1,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",modifikasi vokal,0,0
pa,apa,1,Pa kabar bu?? ??? @fvtrisna,zeroisasi,0,0
mksd,maksud,1,"Apa mksd mengirimi foto ini, kyne kah kena model seragam kami @ana_rrr29 @rocky_lin",abreviasi,0,0
bejilbbnya,berjilbabnya,0,Kd hahaaa... bagus sederhana bejilbbnya kytu aja te @vithapriani @rocky_lin,abreviasi,0,0
masio,masih,1,Lek selebgram kok mesti apik apik ae yo lek masio simple jilbab e @shovamardia,salah ketik,0,0
yahhh,ya,1,Iya yahhh @anifatasha,anaptiksis,elongasi,0
makasih,terima kasih,1,Beb... aku mau make up se soft ini aja ya @syaekaokt makasih banyak beb,akronim,0,0
leh,boleh,1,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,0,0
ugaaa,juga,1,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,elongasi,0
jerewi,jerawat,1,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,coinage,0,0
ilang,hilang,1,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,zeroisasi,0,0
jilbabnyaah,jilbabnya,0,Ntih ini yg opi bilang model jilbabnyaah tadi @rabiahidayantiarnan @megaiskanti @mutiaapriyeni @rozaliafransisca,anaptiksis,elongasi,0
yuuuk,yuk,1,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
warnaaa,warna,1,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
punyaaa,punya,1,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
cantiik,cantik,1,Cantiik,elongasi,0,0
sukaaak,suka,1,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33,elongasi,anaptiksis,0
kebayanyaa,kebayanya,0,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33,elongasi,0,0
mantes,memantas,1,Mantes di kamu euy potongan kitu mah @tlatifaah  mun aku mah katinggali lemakna mereeen wkwkwk,afiksasi,0,0
merekaaaa,mereka,1,Lucu merekaaaa @odywoody,elongasi,0,0
jugaaa,juga,1,"Iya udah lama, udah lama gak nonton mereka jugaaa @isnaarrifahh",elongasi,0,0
gilaaaa,gila,1,Cute gilaaaa ???? @n.ainnur,elongasi,0,0
tiga2nya,tiga-tiganya,0,"Triplets, tiga2nya. Sm Appa Ilkook jg @krtykck",reduplikasi,0,0
lucuu,lucu,1,@yolandinasphr @hafidha6699 lucuu banget aaaak,elongasi,0,0
emessss,gemas,1,Emessss @honiaisya,elongasi,zeroisasi,modifikasi vokal
ucullllll,lucu,1,Ucullllll @thasyaanandita,metatesis,elongasi,0
males,malas,1,"Kangen mereka, pengganti triplets sumpah gk lucu bgt, jdi males nonton TROS",modifikasi vokal,0,0
bangeettt,banget,1,Liattt!! Triplets masih unyu lucu bangeettt gemesshh?? @defierfatimah,elongasi,0,0
gemesshh,gemas,1,Liattt!! Triplets masih unyu lucu bangeettt gemesshh?? @defierfatimah,elongasi,modifikasi vokal,anaptiksis
apaaa,apa,1,@ladysirait anak ini ngomong apaaa ya ampuunn,elongasi,0,0
ampuunn,ampun,1,@ladysirait anak ini ngomong apaaa ya ampuunn,elongasi,0,0
ciuuuummmm,cium,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",elongasi,0,0
mbil,sambil,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",zeroisasi,0,0
ngmng,mengomong,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",abreviasi,afiksasi,0
ngemeng,mengomong,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",modifikasi vokal,afiksasi,0
epe,apa,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",modifikasi vokal,0,0
seehh,sih,1,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak",modifikasi vokal,elongasi,0
yank,sayang,1,@mochmalle yank mirip winter banget,zeroisasi,homofon,subtitusi
ucul,lucu,1,@assailaputri_29 ucul yahh kek gw,metatesis,0,0
yahh,ya,1,@assailaputri_29 ucul yahh kek gw,anaptiksis,elongasi,0
gw,gue,1,@assailaputri_29 ucul yahh kek gw,homofon,abreviasi,0
ngakak,mengakak,1,Aku aja ngakak ?? @_amelia_putri,afiksasi,0,0
astagfirrullah,astagfirullah,1,"Astagfirrullah te-, @anamaghfiroh82",elongasi,0,0
suerrr,sumpah,0,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???",elongasi,0,0
mnta,minta,1,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???",abreviasi,0,0
syg,sayang,1,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???",abreviasi,0,0
ntik,cantik,1,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma,zeroisasi,0,0
pny,punya,1,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma,abreviasi,0,0
dapet,dapat,1,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma,modifikasi vokal,0,0
suru,suruh,1,Ya aurly suru cari pacar sek too wkwkwk @adhy.1993,zeroisasi,0,0
lucuuuu,lucu,1,Lucuuuu ??? @fikohwidodo @ramadiantifanny,elongasi,0,0
ketawakkkk,ketawa,1,Huahahahhahahahahahahaha ...... saket perutku ketawakkkk @ayundadharmawan,anaptiksis,elongasi,0
kyanya,kayanya,0,"Itu bneran suara anjingnya,bkn kyanya tuh @andria_riasih",abreviasi,0,0
